task,fusion,modalities,n_runs,test_accuracy_mean_std,test_macro_f1_mean_std,nonoverlap_macro_f1_mean_std,folder_macro_f1_mean_std,params_mean
activity,concat,tof+image,3,0.7510 ± 0.0514,0.7280 ± 0.0679,0.7275 ± 0.0670,0.7436 ± 0.0676,152675.0
activity,gated,tof+mag,3,0.7418 ± 0.1348,0.7204 ± 0.1473,0.7210 ± 0.1486,0.7147 ± 0.1323,58325.0
activity,single,image,3,0.7171 ± 0.0809,0.6753 ± 0.1288,0.6741 ± 0.1289,0.6828 ± 0.1406,120579.0
activity,concat,tof+audio,3,0.6718 ± 0.0365,0.6403 ± 0.0381,0.6428 ± 0.0375,0.6543 ± 0.0458,70723.0
activity,gated,tof+audio,3,0.6605 ± 0.0484,0.6247 ± 0.0494,0.6238 ± 0.0510,0.6182 ± 0.0929,70869.0
activity,single,audio,3,0.6407 ± 0.0151,0.6214 ± 0.0189,0.6223 ± 0.0206,0.5966 ± 0.0259,38627.0
activity,single,tof,3,0.6316 ± 0.0193,0.6023 ± 0.0170,0.6021 ± 0.0201,0.6034 ± 0.0247,25987.0
activity,single,mag,3,0.6327 ± 0.0992,0.5940 ± 0.0882,0.5936 ± 0.0896,0.6078 ± 0.0727,26083.0
surface,concat,audio+image,9,0.9725 ± 0.0122,0.9726 ± 0.0116,0.9726 ± 0.0130,0.9988 ± 0.0018,165573.0
surface,concat,tof+audio+image,3,0.9724 ± 0.0139,0.9721 ± 0.0131,0.9689 ± 0.0131,0.9989 ± 0.0019,187973.0
surface,concat,imu+tof+mag+audio+image,3,0.9697 ± 0.0162,0.9684 ± 0.0165,0.9661 ± 0.0136,1.0000 ± 0.0000,290629.0
surface,concat,tof+mag+audio+image,3,0.9654 ± 0.0331,0.9668 ± 0.0309,0.9668 ± 0.0328,1.0000 ± 0.0000,210469.0
surface,concat,imu+tof+audio+image,3,0.9655 ± 0.0129,0.9622 ± 0.0139,0.9606 ± 0.0184,0.9989 ± 0.0019,268133.0
surface,concat,imu+audio+image,3,0.9620 ± 0.0183,0.9595 ± 0.0198,0.9607 ± 0.0171,0.9986 ± 0.0025,245733.0
surface,concat,imu+mag+audio+image,3,0.9563 ± 0.0206,0.9544 ± 0.0208,0.9520 ± 0.0194,0.9897 ± 0.0178,268229.0
surface,concat,imu+tof+image,3,0.9540 ± 0.0064,0.9506 ± 0.0101,0.9472 ± 0.0083,0.9969 ± 0.0054,233093.0
surface,gated,tof+audio+image,3,0.9448 ± 0.0545,0.9452 ± 0.0524,0.9412 ± 0.0545,0.9949 ± 0.0087,183560.0
surface,gated,audio+image,3,0.9452 ± 0.0563,0.9444 ± 0.0565,0.9446 ± 0.0579,0.9986 ± 0.0025,165719.0
surface,concat,imu+tof+mag+image,3,0.9464 ± 0.0213,0.9421 ± 0.0295,0.9435 ± 0.0251,0.9955 ± 0.0078,255589.0
surface,concat,mag+audio+image,3,0.9357 ± 0.0633,0.9378 ± 0.0579,0.9375 ± 0.0577,0.9849 ± 0.0261,188069.0
surface,concat,imu+image,3,0.9390 ± 0.0141,0.9356 ± 0.0120,0.9352 ± 0.0103,0.9893 ± 0.0149,210693.0
surface,gated,tof+image,3,0.9318 ± 0.0190,0.9328 ± 0.0169,0.9341 ± 0.0173,0.9925 ± 0.0130,153079.0
surface,single,image,3,0.9308 ± 0.0330,0.9300 ± 0.0327,0.9369 ± 0.0284,0.9676 ± 0.0523,120837.0
surface,concat,tof+image,3,0.9291 ± 0.0357,0.9297 ± 0.0356,0.9295 ± 0.0353,0.9856 ± 0.0139,152933.0
surface,concat,tof+mag+image,3,0.9155 ± 0.0395,0.9155 ± 0.0345,0.9160 ± 0.0364,0.9872 ± 0.0160,175429.0
surface,gated,tof+mag+audio+image,3,0.9067 ± 0.1057,0.9082 ± 0.1005,0.9032 ± 0.1023,0.9740 ± 0.0414,201497.0
surface,concat,imu+mag+image,3,0.9087 ± 0.0146,0.9022 ± 0.0128,0.9037 ± 0.0108,0.9786 ± 0.0149,233189.0
surface,concat,tof+audio,3,0.9028 ± 0.0724,0.8970 ± 0.0759,0.8953 ± 0.0787,0.9500 ± 0.0631,70981.0
surface,gated,mag+audio+image,3,0.8923 ± 0.1201,0.8937 ± 0.1146,0.8954 ± 0.1172,0.9506 ± 0.0856,183656.0
surface,gated,imu+tof+image,3,0.9014 ± 0.0435,0.8917 ± 0.0526,0.8943 ± 0.0502,0.9489 ± 0.0618,228680.0
surface,concat,tof+mag+audio,3,0.8974 ± 0.0813,0.8916 ± 0.0856,0.8880 ± 0.0843,0.9452 ± 0.0921,93477.0
surface,concat,mag+image,3,0.8876 ± 0.0593,0.8881 ± 0.0546,0.8912 ± 0.0548,0.9816 ± 0.0124,153029.0
surface,gated,imu+image,3,0.9039 ± 0.0689,0.8879 ± 0.0938,0.8909 ± 0.0923,0.9326 ± 0.1129,210839.0
surface,gated,imu+mag+image,3,0.9024 ± 0.0797,0.8857 ± 0.1054,0.8927 ± 0.1069,0.9218 ± 0.1316,228776.0
surface,gated,mag+image,3,0.8853 ± 0.0474,0.8856 ± 0.0418,0.8923 ± 0.0394,0.9830 ± 0.0099,153175.0
surface,gated,imu+audio+image,3,0.8998 ± 0.1332,0.8818 ± 0.1624,0.8829 ± 0.1603,0.9020 ± 0.1661,241320.0
surface,concat,imu+tof+audio,3,0.8964 ± 0.0748,0.8791 ± 0.0929,0.8771 ± 0.0898,0.9072 ± 0.1336,151141.0
