run_dir,fold,task,fusion,modalities,seed,shuffle_train_labels,n_train_internal,n_internal_val,n_test_heldout,params,size_mb,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n,folder_majority_accuracy,folder_majority_macro_f1,folder_majority_weighted_f1,folder_majority_n,majority_baseline_accuracy,majority_baseline_macro_f1,majority_baseline_weighted_f1,majority_baseline_n,majority_class,zero_audio_accuracy,zero_audio_macro_f1,zero_image_accuracy,zero_image_macro_f1,zero_imu_accuracy,zero_imu_macro_f1,zero_tof_accuracy,zero_tof_macro_f1,zero_mag_accuracy,zero_mag_macro_f1
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__tof-mag-audio-image__seed42,test_p4,surface,gated,tof+mag+audio+image,42,False,8248,2051,951,201497,2.5662078857421875,0.9705573080967402,0.9702348650218319,0.9700105121569356,951,0.9655172413793104,0.9637777750146718,0.9648316439029229,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.305993690851735,0.25031836050022366,0.6750788643533123,0.6532068017447159,,,0.7823343848580442,0.7290303796226467,0.9705573080967402,0.9710129663222474
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__tof-mag-audio-image__seed42,test_p4,surface,concat,tof+mag+audio+image,42,False,8248,2051,951,210469,2.64886474609375,0.9894847528916929,0.990091836584232,0.9893987329335049,951,0.9918864097363083,0.9924109632294685,0.9918350987699086,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.5394321766561514,0.5046899447705888,,,0.8874868559411146,0.8778296967193622,0.9926393270241851,0.9932464096838467
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__imu-mag-audio-image__seed42,test_p4,surface,gated,imu+mag+audio+image,42,False,8248,2051,951,259257,3.2435455322265625,0.9484752891692955,0.9446559596967219,0.94575346727453,951,0.9574036511156186,0.9552904402644632,0.955563842360004,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.48370136698212407,0.44534145155686133,0.9348054679284963,0.9288057823344349,,,0.9547844374342797,0.9532252875400735
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__imu-mag-audio-image__seed42,test_p4,surface,concat,imu+mag+audio+image,42,False,8248,2051,951,268229,3.3256607055664062,0.9526813880126183,0.9494370238496008,0.9501388417908023,951,0.947261663286004,0.94291138020731,0.9440408749496875,493,0.9722222222222222,0.9692307692307693,0.9722222222222222,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.3175604626708728,0.2670228117707193,0.9726603575184016,0.9701626426144152,,,0.9600420609884333,0.9585163363904791
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__imu-tof-audio-image__seed42,test_p4,surface,gated,imu+tof+audio+image,42,False,8248,2051,951,259161,3.2426376342773438,0.9652996845425867,0.9613782414520422,0.9645818182084145,951,0.9594320486815415,0.9552909271514973,0.9583084480296487,493,0.9722222222222222,0.9692307692307693,0.9722222222222222,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.6025236593059937,0.5491149493112857,0.4037854889589905,0.3534646296960203,0.9453207150368034,0.9374910200591693,0.729758149316509,0.642430525292824,,
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__imu-tof-audio-image__seed42,test_p4,surface,concat,imu+tof+audio+image,42,False,8248,2051,951,268133,3.324615478515625,0.9505783385909569,0.9462156295677383,0.9482317720281425,951,0.9452332657200812,0.9396294929147038,0.9422620916472626,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.676130389064143,0.6113060347224039,0.9800210304942166,0.9782755346944036,0.8633017875920084,0.8261110905352702,,
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__imu-tof-mag-image__seed42,test_p4,surface,gated,imu+tof+mag+image,42,False,8248,2051,951,246617,3.0921630859375,0.8958990536277602,0.8813422657679959,0.8879408406531164,951,0.896551724137931,0.881644358338637,0.8883556549844316,493,0.9722222222222222,0.9692307692307693,0.9722222222222222,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,,,0.33964248159831756,0.26385936652985365,0.7497371188222923,0.651227443665683,0.768664563617245,0.7030684200785289,0.9148264984227129,0.9068908275386123
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__imu-tof-mag-image__seed42,test_p4,surface,concat,imu+tof+mag+image,42,False,8248,2051,951,255589,3.1722259521484375,0.9684542586750788,0.9696450075344041,0.9682912526215085,951,0.9634888438133874,0.9645676324076404,0.9633014490735913,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,,,0.5057833859095688,0.4168032623158878,0.8086225026288117,0.7098886321549008,0.7917981072555205,0.7680886227855381,0.9747634069400631,0.9762308312818142
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__imu-tof-mag-audio__seed42,test_p4,surface,gated,imu+tof+mag+audio,42,False,8248,2051,951,164665,2.1384353637695312,0.92534174553102,0.9175830463955744,0.9206850253763097,951,0.9249492900608519,0.9167389119912205,0.9201383893911668,493,0.9722222222222222,0.9712820512820514,0.972079772079772,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.35541535226077814,0.28586960451718657,,,0.8180862250262881,0.7202398023103525,0.7728706624605678,0.6844160972456863,0.8527865404837014,0.8247103073032473
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__imu-tof-mag-audio__seed42,test_p4,surface,concat,imu+tof+mag+audio,42,False,8248,2051,951,173637,2.2209014892578125,0.9190325972660357,0.9112958940350516,0.9140874851833332,951,0.9188640973630832,0.9125263503142074,0.9142413494616144,493,0.9722222222222222,0.9712820512820514,0.972079772079772,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,,,0.8401682439537329,0.7646148318066006,0.6961093585699264,0.6210308987692411,0.9295478443743428,0.9226624460259252
