task,fusion,modalities,folds,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_nonoverlap_macro_f1,mean_folder_macro_f1,mean_majority_baseline_macro_f1,mean_params,mean_size_mb
activity,concat,tof+audio,"test_p1p2,test_p3,test_p4",3,0.6718045960729566,0.03650553635307783,0.6402550243264474,0.03807072178863262,0.6428244835556443,0.6542826463695822,0.1753190220111451,70723.0,0.941802978515625
activity,gated,tof+audio,"test_p1p2,test_p3,test_p4",3,0.6605079711847348,0.048361883156292085,0.6247089929066759,0.04942476037213036,0.623804212003534,0.6182119002187174,0.1753190220111451,70869.0,0.962127685546875
activity,single,audio,"test_p1p2,test_p3,test_p4",3,0.640683144062036,0.015128221922124563,0.6214354734316503,0.0189030881227883,0.6222572677148839,0.5966388394452803,0.1753190220111451,38627.0,0.5184326171875
activity,single,tof,"test_p1p2,test_p3,test_p4",3,0.6315872709007945,0.019280187125327097,0.6023297799332418,0.01696760764640389,0.6021246565643187,0.6034182387942987,0.1753190220111451,25987.0,0.36176300048828125
activity,single,mag,"test_p1p2,test_p3,test_p4",3,0.6326984278541238,0.09922388442363357,0.5939858373630296,0.08816538481655785,0.5935924521978221,0.6077778262511417,0.1753190220111451,26083.0,0.36513519287109375
surface,concat,audio+image,"test_p1p2,test_p3,test_p4",9,0.972513212798539,0.01217154387624777,0.9726303311680476,0.011576035693821306,0.9726422350915297,0.9987880095199062,0.08876926659134107,165573.0,2.0483245849609375
surface,concat,tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.9723509458526545,0.013858092327023298,0.972074791632204,0.013098053602644634,0.96893365772855,0.9989042041459048,0.08876926659134109,187973.0,2.3473663330078125
surface,concat,imu+tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.969734153986669,0.016239548725397956,0.9683686687647732,0.016451750201904623,0.9660852513855778,1.0,0.08876926659134109,290629.0,3.6224136352539062
surface,concat,tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9654441545615954,0.03314514563947542,0.9667910575161557,0.030929568499636604,0.9668204551942342,1.0,0.08876926659134109,210469.0,2.64886474609375
surface,concat,imu+tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.9654714895293336,0.012924039187844686,0.96221770856781,0.013901893355474669,0.9606206545704584,0.9989042041459048,0.08876926659134109,268133.0,3.324615478515625
surface,concat,imu+audio+image,"test_p1p2,test_p3,test_p4",3,0.9619815483764297,0.018346881894168852,0.959500296468614,0.019751600423971852,0.9607208113065789,0.9985556202679091,0.08876926659134109,245733.0,3.0245132446289062
surface,concat,imu+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9562978631936895,0.020635241958021428,0.954381366288552,0.020767786880570592,0.9520233652724154,0.9897435897435898,0.08876926659134109,268229.0,3.3256607055664062
surface,concat,imu+tof+image,"test_p1p2,test_p3,test_p4",3,0.9540313897408105,0.006435252304837661,0.9505640827926861,0.010144022254317316,0.9472128361469819,0.996858832224686,0.08876926659134109,233093.0,2.87109375
surface,gated,tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.9447946835331895,0.054450266997822905,0.9452262115409287,0.05244783678826658,0.9412233335928492,0.9949494949494949,0.08876926659134109,183560.0,2.3181228637695312
surface,gated,audio+image,"test_p1p2,test_p3,test_p4",3,0.9451555789950968,0.056270399476765084,0.9444225016149685,0.05652362144572237,0.9445956385030946,0.9985556202679091,0.08876926659134109,165719.0,2.07171630859375
surface,concat,imu+tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.9463850641473225,0.021291210473153018,0.9421333372937832,0.02952991751217253,0.9435278727114381,0.995497297821044,0.08876926659134109,255589.0,3.1722259521484375
surface,concat,mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9356984989234407,0.06325027139882086,0.9377597985649754,0.05789615951564571,0.9375324990618553,0.9849058009183147,0.08876926659134109,188069.0,2.3488845825195312
surface,concat,imu+image,"test_p1p2,test_p3,test_p4",3,0.939044426164796,0.01409168566442073,0.9355819761102245,0.011965527285357323,0.935242715888541,0.9893015119067844,0.08876926659134109,210693.0,2.5750885009765625
surface,gated,tof+image,"test_p1p2,test_p3,test_p4",3,0.9318254673492427,0.018971756744996734,0.9327521201073968,0.01686673607522093,0.9340527572549999,0.9924786324786324,0.08876926659134109,153079.0,1.9184494018554688
surface,single,image,"test_p1p2,test_p3,test_p4",3,0.930765456455445,0.0330453010191895,0.9300107646480659,0.03274899482087992,0.9368908735639266,0.9676188467458585,0.08876926659134109,120837.0,1.4710235595703125
surface,concat,tof+image,"test_p1p2,test_p3,test_p4",3,0.9291024081742503,0.035680072880655646,0.929695595522519,0.03559000929546883,0.9295409414828558,0.9856438135507903,0.08876926659134109,152933.0,1.8968048095703125
surface,concat,tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.9154861679493168,0.03948425801615997,0.9155480929915737,0.03451137109356124,0.9160290601255533,0.9871981772710686,0.08876926659134109,175429.0,2.1948394775390625
surface,gated,tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9067083281534799,0.1056726277615716,0.9082458704540851,0.10051473587657105,0.9031902275201197,0.9739523406480878,0.08876926659134109,201497.0,2.5662078857421875
surface,concat,imu+mag+image,"test_p1p2,test_p3,test_p4",3,0.908746554730881,0.014566808477960418,0.9022422184728823,0.012808485117698252,0.9036723722673164,0.9785802643434316,0.08876926659134109,233189.0,2.8721771240234375
surface,concat,tof+audio,"test_p1p2,test_p3,test_p4",3,0.902810492098291,0.07243224178306062,0.8970174944751815,0.07593524603167817,0.8952515245896978,0.9500167498944659,0.08876926659134109,70981.0,0.9457626342773438
surface,gated,mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.8922814144843431,0.12011649573555605,0.8937258858687483,0.11460231283098765,0.8954201908943914,0.9505530201586825,0.08876926659134109,183656.0,2.3201522827148438
surface,gated,imu+tof+image,"test_p1p2,test_p3,test_p4",3,0.9013949991655248,0.043530405727963066,0.8916656729801203,0.05259084880594689,0.8943470841706582,0.9488961065013791,0.08876926659134109,228680.0,2.8435516357421875
surface,concat,tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8974071179989402,0.08128347329222434,0.8915820209509168,0.08556810420204801,0.8879547210890516,0.9451801504218511,0.08876926659134109,93477.0,1.2453765869140625
surface,concat,mag+image,"test_p1p2,test_p3,test_p4",3,0.8875973587992387,0.05934240722443739,0.8880646264339189,0.05461710120053467,0.8912360580550057,0.9815896458259578,0.08876926659134109,153029.0,1.89727783203125
surface,gated,imu+image,"test_p1p2,test_p3,test_p4",3,0.9039238395743382,0.06894801574125953,0.8878701500053395,0.09376208777606282,0.8908619265445036,0.9326292251292346,0.08876926659134109,210839.0,2.5960311889648438
surface,gated,imu+mag+image,"test_p1p2,test_p3,test_p4",3,0.9023923380388984,0.07968360561616548,0.8856763481808473,0.10535461963289755,0.8926881506600332,0.9218208859658538,0.08876926659134109,228776.0,2.8433074951171875
surface,gated,mag+image,"test_p1p2,test_p3,test_p4",3,0.885259072282729,0.0474299748408188,0.8856154562519357,0.041757969358839686,0.8922629207020574,0.9829549448531353,0.08876926659134109,153175.0,1.9190597534179688
surface,gated,imu+audio+image,"test_p1p2,test_p3,test_p4",3,0.8997765888174397,0.13321421753029702,0.8818142224680612,0.16244739900526464,0.8829048900346469,0.9019573501021948,0.08876926659134109,241320.0,2.996490478515625
surface,concat,imu+tof+audio,"test_p1p2,test_p3,test_p4",3,0.8963747963050658,0.07483529249694558,0.8791331765389168,0.0929329857111401,0.8771313624623843,0.9072201176231086,0.08876926659134109,151141.0,1.9208602905273438
surface,gated,tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.8759437172963378,0.03885181309821127,0.8773915386971546,0.03425527289015375,0.879911260949871,0.9779990379990381,0.08876926659134109,171016.0,2.1673660278320312
surface,concat,imu+tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8913273756349582,0.06017503072077219,0.8767014994561525,0.06994033013140932,0.8769753586997385,0.9546814695834304,0.08876926659134109,173637.0,2.2209014892578125
surface,gated,tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8801105644160229,0.11249980267666759,0.8762489511667192,0.11294864534694572,0.8734395100756479,0.9328351110724961,0.08876926659134109,89064.0,1.2145538330078125
surface,gated,imu+tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.8865309027477416,0.14348353617172901,0.858013217105722,0.18696113313594856,0.853912308619554,0.8808853529023902,0.08876926659134109,259161.0,3.2426376342773438
surface,gated,imu+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.8647863980990628,0.16903880150937747,0.8560569224456791,0.17862875343836376,0.8572845188071367,0.8847837818005777,0.08876926659134109,259257.0,3.2435455322265625
surface,gated,imu+tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.8657458849291375,0.15524608203146495,0.8498291395855326,0.1747245048340662,0.8526573196992621,0.8892576368032398,0.08876926659134109,277098.0,3.4719314575195312
surface,gated,imu+tof+audio,"test_p1p2,test_p3,test_p4",3,0.875344098764541,0.12540136056532092,0.8451559175181028,0.16918179506762104,0.8436704413170467,0.8984575308153229,0.08876926659134109,146728.0,1.8905563354492188
surface,gated,tof+audio,"test_p1p2,test_p3,test_p4",3,0.8625141696988047,0.10323238464541704,0.8417428354879178,0.12495986872045128,0.8436477575858281,0.9059629851581742,0.08876926659134109,71127.0,0.9677886962890625
surface,gated,imu+tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.8448206870523389,0.08985539473792041,0.8321411355219356,0.08431012519676705,0.8337232209993349,0.9286654398233346,0.08876926659134109,246617.0,3.0921630859375
surface,single,audio,"test_p1p2,test_p3,test_p4",3,0.8328269535184291,0.11625959292750009,0.8090847951571529,0.13724601098350225,0.8044196132126,0.8506903595744936,0.08876926659134109,38885.0,0.5194625854492188
surface,gated,imu+tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8192313141928129,0.17201579174382978,0.7882132114825637,0.20982844761418673,0.7877596890667768,0.8623558149996339,0.08876926659134109,164665.0,2.1384353637695312
